start_idx,init,p_ls,p_ref,l2_ls,l1_before,l1_after,l1_final
11,"[10.0, 0.03, 51.16377373961064]","[29.58281008125586, -0.049999999999999996, 55.01360841349603]","[28.10607903777064, 0.021320495133521848, 54.8984278451976]",385843.4461816633,38102.19180125534,37865.10744432463,37865.10744432463
12,"[10.0, 0.05, 51.044568082386725]","[29.58281292495354, -0.049999999999999996, 55.01360922378902]","[28.10179571478961, 0.021296682016374868, 54.89782940901392]",385843.44618165586,38102.192003113334,37865.112050907424,37865.112050907424
13,"[20.0, -0.05, 52.70261920004784]","[29.582814915221302, -0.049999999999999996, 55.01360978475963]","[28.106015499338636, 0.021320143385849148, 54.89846958462225]",385843.4461816524,38102.192144526285,37865.10751320633,37865.10751320633
14,"[20.0, -0.030000000000000002, 52.69986779170154]","[29.58281488134101, -0.049999999999999996, 55.013609779796084]","[28.104148536372428, 0.021309765591278645, 54.89815586506723]",385843.4461816525,38102.192142018124,37865.109527809,37865.109527809
15,"[20.0, -0.010000000000000002, 52.69291977044375]","[29.58281432551126, -0.049999999999999996, 55.01360962310542]","[28.09437411624044, 0.021310183658661743, 54.89620115948679]",385843.4461816533,38102.19210252576,37865.12472346438,37865.12472346438
16,"[20.0, 0.009999999999999995, 52.67190832094329]","[29.582812115693578, -0.049999999999999996, 55.01360899336005]","[28.10414852872695, 0.02130976554312536, 54.89842005959465]",385843.44618165767,38102.191945664934,37865.10952781672,37865.10952781672
17,"[20.0, 0.03, 52.602636094259225]","[29.58281474419169, -0.049999999999999996, 55.01360974605249]","[28.10414853600483, 0.02130976558895345, 54.89813931137002]",385843.44618165266,38102.19213216528,37865.10952780936,37865.10952780936
18,"[20.0, 0.05, 52.36784678338515]","[29.582814866480494, -0.049999999999999996, 55.0136097826313]","[28.104331692982637, 0.021310789854732757, 54.89825619599322]",385843.4461816525,38102.192140807725,37865.10933119723,37865.10933119723
19,"[30.0, -0.05, 55.13296493772258]","[29.58282335977171, -0.049999999999999996, 55.01361218977449]","[28.101071121534115, 0.021292647060212555, 54.897529147076256]",385843.44618165423,38102.19274398321,37865.1128239903,37865.1128239903
20,"[30.0, -0.030000000000000002, 55.128942647807825]","[29.582822265485568, -0.049999999999999996, 55.013611874011076]","[28.104148557882397, 0.02130976572518416, 54.89813931639593]",385843.4461816526,38102.192666393086,37865.109527787135,37865.109527787135
21,"[30.0, -0.010000000000000002, 55.118785320244825]","[29.582813957041434, -0.049999999999999996, 55.013609516810625]","[28.104148533800718, 0.02130976557506534, 54.89827890021773]",385843.4461816539,38102.19207639882,37865.10952781159,37865.10952781159
22,"[30.0, 0.009999999999999995, 55.08806863599321]","[29.582815105641394, -0.049999999999999996, 55.0136098438646]","[28.10414853698787, 0.021309765595167906, 54.898278900883476]",385843.4461816522,38102.192157936515,37865.109527808374,37865.109527808374
23,"[30.0, 0.03, 54.98679941539921]","[29.58281219773818, -0.049999999999999996, 55.0136090166833]","[28.10623404129109, 0.02132135897119232, 54.897570394990304]",385843.4461816575,38102.19195149002,37865.10727674926,37865.10727674926
24,"[30.0, 0.05, 54.643560405276794]","[29.58280777094389, -0.049999999999999996, 55.01360775572605]","[28.104148517612145, 0.021309765471771568, 54.89813930701303]",385843.4461816715,38102.19163724751,37865.10952782782,37865.10952782782
25,"[40.0, -0.05, 58.43172888038831]","[29.58282212081668, -0.049999999999999996, 55.0136118417514]","[28.105896663694914, 0.02131948316981458, 54.897542872007264]",385843.4461816523,38102.192655926694,37865.10764179156,37865.10764179156
26,"[40.0, -0.030000000000000002, 58.426557924148746]","[29.582822057379442, -0.049999999999999996, 55.013611815765955]","[28.100004314604824, 0.021286708864218466, 54.89742105570435]",385843.44618165225,38102.19265159765,37865.11395945016,37865.11395945016
27,"[40.0, -0.010000000000000002, 58.413499915538715]","[29.582821995188787, -0.049999999999999996, 55.013611801857735]","[28.104148557203864, 0.02130976572088438, 54.89813931623404]",385843.44618165214,38102.19264709922,37865.10952778782,37865.10952778782
28,"[40.0, 0.009999999999999995, 58.37401130744353]","[29.58282145994083, -0.049999999999999996, 55.013611657588726]","[28.10414855550813, 0.021309765710524543, 54.89827890473825]",385843.44618165155,38102.192608923615,37865.10952778956,37865.10952778956
29,"[40.0, 0.03, 58.243822106962654]","[29.582810321575888, -0.04999999999999999, 55.01360848717046]","[28.105687965340394, 0.021318327388207478, 54.89833896020485]",385843.4461816625,38102.19181819997,37865.10786783743,37865.10786783743
30,"[40.0, 0.05, 57.802562541227125]","[29.582811533490844, -0.049999999999999996, 55.01360882492318]","[28.105348753766847, 0.02131643673429583, 54.89833174884956]",385843.4461816591,38102.19190439359,37865.10823387344,37865.10823387344
31,"[50.0, -0.05, 62.498679754902184]","[29.58282971218484, -0.049999999999999996, 55.01361399577499]","[28.10566788024784, 0.02131821462577657, 54.89867444064066]",385843.44618167303,38102.19319499422,37865.10788944758,37865.10788944758
32,"[50.0, -0.030000000000000002, 62.49251724922655]","[29.58282131510291, -0.049999999999999996, 55.01361161453125]","[28.1043673334574, 0.021310981253521103, 54.898180210940545]",385843.44618165144,38102.19259868171,37865.109292232635,37865.109292232635
33,"[50.0, -0.010000000000000002, 62.47695532055341]","[29.582829368372717, -0.049999999999999996, 55.01361389886039]","[28.105519930338783, 0.02131739443113924, 54.89836213070137]",385843.4461816717,38102.193170565835,37865.10804952933,37865.10804952933
34,"[50.0, 0.009999999999999995, 62.42989462998942]","[29.582828767173993, -0.049999999999999996, 55.01361372455797]","[28.104693524124183, 0.02131280129613128, 54.898106833227466]",385843.4461816693,38102.19312795608,37865.108941401886,37865.108941401886
35,"[50.0, 0.03, 62.27474118259939]","[29.58282610378235, -0.049999999999999996, 55.01361297059065]","[28.105994393748848, 0.021320025419566603, 54.89850909067406]",385843.44618166063,38102.19293878836,37865.10753598293,37865.10753598293
36,"[50.0, 0.05, 61.7488685098675]","[29.582815260897622, -0.049999999999999996, 55.01360988746508]","[28.104352132084554, 0.02131089789107603, 54.898204783292194]",385843.446181652,38102.19216897132,37865.10930868796,37865.10930868796
37,"[11.366801123358483, -0.018324166029024716, 67.84192743996405]","[29.58281523853878, -0.049999999999999996, 55.013609881109]","[28.104233277300054, 0.021310239881542042, 54.898160823823474]",385843.446181652,38102.192167383866,37865.10943689111,37865.10943689111
